"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3218
"ribosome biogenesis","C1_05_24",6,3,3.7e-24,0.807354922057604,0.2855
"rRNA metabolic process","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5993
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",4,4,3.7e-24,0,1
"regulation of response to DNA damage stimulus","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.1071
"establishment of protein localization to organelle","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0452
"macroautophagy","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7727
"regulation of chromosome organization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5266
"Golgi vesicle transport","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6611
"double-strand break repair","C1_05_24",0,3,3.7e-24,-2,0.0325
"histone modification","C1_05_24",2,5,3.7e-24,-1,0.124
"sister chromatid segregation","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5318
"DNA replication","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7762
"chromosome segregation","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6718
"mitochondrial gene expression","C1_05_24",2,2,3.7e-24,0,1
"nucleocytoplasmic transport","C1_05_24",1,3,3.7e-24,-1,0.2261
"nuclear transport","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3028
"regulation of DNA repair","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5325
"peptidyl-lysine modification","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6685
"protein targeting","C1_05_24",4,4,3.7e-24,0,1
"cytoplasmic translation","C1_05_24",3,1,3.7e-24,1,0.4143
"regulation of autophagy","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4598
"signal transduction in response to DNA damage","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0932
"regulation of intracellular transport","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6131
"protein localization to nucleus","C1_05_24",3,3,3.7e-24,0,1
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6473
"telomere maintenance","C1_05_24",2,2,3.7e-24,0,1
"cell cycle checkpoint signaling","C1_05_24",5,2,3.7e-24,1,0.1906
"regulation of protein modification by small protein conjugation or removal","C1_05_24",2,2,3.7e-24,0,1
"cellular respiration","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5899
"cellular component disassembly","C1_05_24",6,5,3.7e-24,0.222392421336448,0.825
"nuclear chromosome segregation","C1_05_24",4,4,3.7e-24,0,1
"regulation of protein stability","C1_05_24",4,3,3.7e-24,0.321928094887362,0.78
"regulation of cell cycle phase transition","C1_05_24",6,5,3.7e-24,0.222392421336448,0.8258
"regulation of protein catabolic process","C1_05_24",4,4,3.7e-24,0,1
"response to endoplasmic reticulum stress","C1_05_24",3,3,3.7e-24,0,1
"vesicle organization","C1_05_24",7,4,3.7e-24,0.678071905112638,0.3381
"mitochondrial respiratory chain complex assembly","C1_05_24",1,1,3.7e-24,0,1
"DNA-templated transcription elongation","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1719
"mitochondrial transport","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0874
"establishment of organelle localization","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2672
"regulation of intracellular protein transport","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7276
"response to UV","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6878
"RNA localization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5656
"response to topologically incorrect protein","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6836
"organelle fission","C1_05_24",1,5,3.7e-24,-1.58496250072116,0.0389
"non-membrane-bounded organelle assembly","C1_05_24",4,4,3.7e-24,0,1
"protein polyubiquitination","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6294
"methylation","C1_05_24",4,4,3.7e-24,0,1
"phospholipid biosynthetic process","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5983
"oxidative phosphorylation","C1_05_24",0,1,3.7e-24,-1,0.4225
"establishment of protein localization to membrane","C1_05_24",4,3,3.7e-24,0.321928094887362,0.766
"in utero embryonic development","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.0666
"vacuole organization","C1_05_24",3,2,3.7e-24,0.415037499278844,0.738
"nuclear-transcribed mRNA catabolic process","C1_05_24",1,1,3.7e-24,0,1
"protein folding","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5274
"DNA conformation change","C1_05_24",1,1,3.7e-24,0,1
"regulation of chromosome segregation","C1_05_24",2,2,3.7e-24,0,1
"regulation of apoptotic signaling pathway","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4628
"cell cycle G2/M phase transition","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7241
"vacuolar transport","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5307
"response to ionizing radiation","C1_05_24",1,1,3.7e-24,0,1
"cellular response to UV","C1_05_24",1,1,3.7e-24,0,1
"regulation of binding","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6595
"nucleic acid transport","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1297
"RNA transport","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1447
"ribonucleoprotein complex subunit organization","C1_05_24",1,3,3.7e-24,-1,0.2295
"regulation of DNA replication","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.1808
"ribose phosphate metabolic process","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6953
"proton motive force-driven ATP synthesis","C1_05_24",0,1,3.7e-24,-1,0.505
"ribonucleotide metabolic process","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.078
"telomere organization","C1_05_24",2,2,3.7e-24,0,1
"cellular response to topologically incorrect protein","C1_05_24",2,1,3.7e-24,0.584962500721156,0.6584
"Golgi organization","C1_05_24",1,1,3.7e-24,0,1
"ribonucleoprotein complex assembly","C1_05_24",2,2,3.7e-24,0,1
"cellular nitrogen compound catabolic process","C1_05_24",4,4,3.7e-24,0,1
"negative regulation of phosphorus metabolic process","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8065
"heterocycle catabolic process","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8157
"mitochondrial membrane organization","C1_05_24",1,1,3.7e-24,0,1
"regulation of protein-containing complex assembly","C1_05_24",3,3,3.7e-24,0,1
"positive regulation of cellular component biogenesis","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6852
"response to oxidative stress","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8021
"regulation of supramolecular fiber organization","C1_05_24",4,4,3.7e-24,0,1
"positive regulation of protein localization","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8088
"positive regulation of cell projection organization","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5896
"negative regulation of transferase activity","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5231
"autophagy of mitochondrion","C1_05_24",1,1,3.7e-24,0,1
"positive regulation of amide metabolic process","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5333
"chromatin remodeling","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3001
"viral process","C1_05_24",0,3,3.7e-24,-2,0.0314
"macromolecule deacylation","C1_05_24",0,1,3.7e-24,-1,0.4131
"mitotic cytokinesis","C1_05_24",1,1,3.7e-24,0,1
"aromatic compound catabolic process","C1_05_24",5,5,3.7e-24,0,1
"vesicle localization","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5327
"establishment or maintenance of cell polarity","C1_05_24",4,2,3.7e-24,0.736965594166206,0.3371
"Wnt signaling pathway","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4579
"cell-cell signaling by wnt","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0159
"ATP metabolic process","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7331
"cellular response to chemical stress","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3165
"regulation of vacuole organization","C1_05_24",1,0,3.7e-24,1,0.4834
