"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",6,5,3.7e-24,0.222392421336448,0.823
"ribosome biogenesis","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2836
"rRNA metabolic process","C1_05_24",6,3,3.7e-24,0.807354922057604,0.2797
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",9,4,3.7e-24,1,0.1016
"regulation of response to DNA damage stimulus","C1_05_24",1,3,3.7e-24,-1,0.2076
"establishment of protein localization to organelle","C1_05_24",8,5,3.7e-24,0.584962500721156,0.3968
"macroautophagy","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6525
"regulation of chromosome organization","C1_05_24",0,2,3.7e-24,-1.58496250072116,0.0816
"Golgi vesicle transport","C1_05_24",3,3,3.7e-24,0,1
"double-strand break repair","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6523
"histone modification","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6645
"sister chromatid segregation","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5283
"DNA replication","C1_05_24",1,4,3.7e-24,-1.32192809488736,0.1002
"chromosome segregation","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6749
"mitochondrial gene expression","C1_05_24",0,1,3.7e-24,-1,0.4161
"nucleocytoplasmic transport","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6495
"nuclear transport","C1_05_24",4,4,3.7e-24,0,1
"regulation of DNA repair","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5267
"peptidyl-lysine modification","C1_05_24",4,4,3.7e-24,0,1
"protein targeting","C1_05_24",0,3,3.7e-24,-2,0.0432
"cytoplasmic translation","C1_05_24",4,2,3.7e-24,0.736965594166206,0.2868
"regulation of autophagy","C1_05_24",3,3,3.7e-24,0,1
"signal transduction in response to DNA damage","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5343
"regulation of intracellular transport","C1_05_24",7,3,3.7e-24,1,0.2236
"protein localization to nucleus","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8117
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",2,2,3.7e-24,0,1
"telomere maintenance","C1_05_24",1,1,3.7e-24,0,1
"cell cycle checkpoint signaling","C1_05_24",4,2,3.7e-24,0.736965594166206,0.3541
"regulation of protein modification by small protein conjugation or removal","C1_05_24",2,2,3.7e-24,0,1
"cellular respiration","C1_05_24",0,3,3.7e-24,-2,0.058
"cellular component disassembly","C1_05_24",4,5,3.7e-24,-0.263034405833794,0.6793
"nuclear chromosome segregation","C1_05_24",4,4,3.7e-24,0,1
"regulation of protein stability","C1_05_24",1,3,3.7e-24,-1,0.2465
"regulation of cell cycle phase transition","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3404
"regulation of protein catabolic process","C1_05_24",3,5,3.7e-24,-0.584962500721156,0.3629
