gene_id,C9_CTL_A,C9_ENU_A,C9_CTL_B,C9_ENU_B,C9_CTL_C,C9_ENU_C,C1_CTL_A,C1_CTL_B,C1_CTL_C
ENSG00000003249,360,297,387,247,209,254,9.48,7.95,18.62
ENSG00000003393,662,545,787,636,649,854,9.42,7.86,10.99
ENSG00000003400,16,16,7,9,9,20,0.33,0.06,0.44
ENSG00000003402,934.33,728.31,1229,739.3,626.31,845.07,30.8,35.84,27.39
ENSG00000003436,3238,2440,3771,3077,2930,4292,206.45,146.65,74.22
ENSG00000003509,233,207,276.02,204,274.16,321.28,7.81,9.35,10.07
ENSG00000003756,1556.99,1265.36,1920.68,1294,1652.37,2591.13,43.05,37.85,44.62
ENSG00000003987,27,14,21.05,11,24.58,18.72,0.19,0.34,0.22
ENSG00000003989,4193,3174,3707,2624,3465,4202,49.31,52.46,18.6
ENSG00000004059,1073,879.99,1310,972,1206.98,1422.97,131.99,129.85,146.92
ENSG00000004139,124.87,121.77,95.54,48.07,404.79,396.18,2.76,2.22,3.94
ENSG00000004142,1550.09,1159.47,1793.5,1321.25,1300.42,1617.67,39.79,41.81,50.55
ENSG00000004399,4322,3344,6128,4036,1817,2686,47.29,67,60.47
ENSG00000004455,1066,886,1243,848,1484,1717,66.39,64.46,77.58
ENSG00000004468,0,0,0,1,0,0,0,0,0
ENSG00000004478,449,403,559,354,653,743,11.2,13.19,26.97
ENSG00000004487,1594,1199,1864,1395,1624,2079,41.25,40.13,48.66
ENSG00000004534,1012,867.64,1265.3,863,1459.57,2188.49,28.66,30.09,23.74
ENSG00000004660,82,81,164,130,93,132,1.21,1.49,3.78
ENSG00000004700,1060.96,777.67,1129.69,860.87,1239.09,1693.68,27.25,24.97,30.7
ENSG00000004766,263,218,344,228,286,402,6.9,4.79,7.21
ENSG00000004776,2419.85,2446.13,2566.2,2749,1079,1026,111.44,84.57,190.21
ENSG00000004777,54,46,76,36,107,116,1.38,2.71,2.81
ENSG00000004779,536,503,631,422,420,414,42.98,67.75,80.2
ENSG00000004799,4,4,0,0,9,14,1.64,0.43,0.18
ENSG00000004809,0,0,0,0,0,0,0,0,0
ENSG00000004838,5,6,5,2,6,13,0.64,1.15,0.82
ENSG00000004846,0,0,0,0,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,0,0,0,0
ENSG00000004864,187,131,227,97,191,314,4.11,6.03,6.8
ENSG00000004866,370.25,415.83,464.54,377.34,410.41,516.07,15.22,12.47,13.01
ENSG00000004897,1523,1236,1672,1234,1604,2189,42.67,45.54,48.91
ENSG00000004939,0,0,0,0,0,0,0,0,0
ENSG00000004948,0,0,0,0,0,0,0,0,0
ENSG00000004961,332,300,467,284,374,507,19.01,18.36,25.15
ENSG00000004975,820,631,1067,877,790,857,30.03,28.33,27.76
ENSG00000005001,0,0,0,0,1,0,0,0,0
ENSG00000005007,2511,2115,3155,2327,1955,2464,29.97,31.31,46.24
ENSG00000005020,533,441,621,530,679,765,21.13,18.14,13.77
ENSG00000005022,1259,974,1421,1018,1349,1568,100.9,88.2,143.72
ENSG00000005059,142,126,183,133,180,246,11.43,16.54,25.51
ENSG00000005073,4,0,3.54,1,0,1,0,0,0
ENSG00000005075,200,166,243,144,250,242,12.7,12.48,20.6
ENSG00000005100,303,272,399,279,418,531,5.66,3.84,8.15
ENSG00000005102,8,6,2,0,1,0,0.42,0.29,0.36
ENSG00000005108,1,0,0,0,0,0,0,0,0.01
ENSG00000005156,282,200,369,244,347,547,7.51,6.66,15.49
ENSG00000005175,334,261,380,248,427,543,12.23,12.59,15.92
ENSG00000005187,1,4,4.15,5.28,4,3.33,0.64,0.24,0
ENSG00000005189,48,36,67,51,25,60,0.69,1.33,1.31
ENSG00000005194,466,315,508,336,482,601,15.48,19.27,26.39
ENSG00000005206,575,564,785,522,606,837,14.15,20.05,20.04
ENSG00000005238,560,434,685,397,563,637,10.02,12.25,14.91
ENSG00000005243,416,351,422,283,706,800,36.51,43.59,48.7
ENSG00000005249,121,71,105,101,136,211,6.31,4.02,2.49
ENSG00000005302,250,197,296,201,281,434,8.83,8.81,11.24
ENSG00000005339,1846,1564,2372,1940,1506,2104,15.04,13.99,15.03
ENSG00000005379,63,32,91,82,35,31,1.79,0.71,1.09
ENSG00000005381,1,0,0,2,0,3,0.08,0,0
ENSG00000005421,0,0,0,0,0,0,0,0,0
ENSG00000005436,179,134,155,136,199,247,5.27,7.56,6.27
ENSG00000005448,393,359,502,455,273,379,45.35,39.82,38.34
ENSG00000005469,483,316,512,298,596,625,12.94,12.17,7.23
ENSG00000005471,2,1,0,4,1,0,0.02,0,0
ENSG00000005483,1645,1272,2033,1526,1191,1808,26.3,18.62,18.77
ENSG00000005486,623,678,838,640,573,696,20.93,22.56,23.49
ENSG00000005513,5,0,1,2,2,1,0.18,0.19,0.03
ENSG00000005700,1552,1160,1771,1091,1480,2048,15.87,13.08,15.7
ENSG00000005801,73,49,84,67,105,142,4.73,3.48,3.68
ENSG00000005810,1457.52,1336,2032,1508.99,1334,1891.93,13.8,10.8,13.92
ENSG00000005812,743.25,612.49,871.7,610.61,595,806.53,16.32,28.51,16.32
ENSG00000005844,2,2,0,2,0,0,0,0,0.19
ENSG00000005882,348.68,311.72,474.84,243.4,365.4,373.15,17.66,18.16,15.37
ENSG00000005884,4719,3983,6769,5016,4273,5800,27.65,33.03,107.93
ENSG00000005889,714,572,957,696,645,814,10.13,8.36,8.84
ENSG00000005893,2689,2186,3032,2515,2405,3390,70.84,58.35,76.62
ENSG00000005955,1237,930,1410,1116,1186,1615,45.9,36.17,35.63
ENSG00000005961,14,13,15,11,6,5,0.63,0.28,0.15
ENSG00000005981,0,0,0,1,0,0,0,0,0
ENSG00000006007,2232.02,1811.82,2892.78,2424.84,1421,2108.7,59.96,56.96,41.81
ENSG00000006015,268,229,351,215,388,366,21.87,33.9,37.78
ENSG00000006016,81.21,61.33,68.21,45.01,99.47,90.88,15.08,7.71,7.93
ENSG00000006025,116,137,163,79,188,223,2.75,4.28,2.6
ENSG00000006042,2151,1496,2563,1525,1256,1620,129.42,119.12,88.76
ENSG00000006047,1,0,2,0,1,0,0,0.05,0
ENSG00000006059,0,0,0,0,0,0,0,0,0
ENSG00000006062,475.94,359.84,633.85,495.89,302.54,366.54,3.94,4.63,4.48
ENSG00000006071,0,0,0,0,0,0,0,0,0
ENSG00000006074,0,0,0,0,0,0,0,0,0
ENSG00000006075,0,0,0,0,0,0,0,0,0
ENSG00000006114,896,769,1043,756,843,1164,10.84,9.82,12.47
ENSG00000006116,0,0,0,0,0,0,0,0,0
ENSG00000006118,3265,2097,4332,2121,2239,2401,63.79,81.56,72.77
ENSG00000006125,6363,4975,8077,5790,4741,6541,88.81,74.7,93
ENSG00000006128,0,0,0,0,0,0,0,0,0
ENSG00000006194,406.38,319.4,433.42,370.62,363.44,455.42,16.31,19.81,17.61
ENSG00000006210,0,1,0,0,0,0,0,0.02,0
ENSG00000006282,794,803,1010,730,871,1086,24.15,23.19,26.21
ENSG00000006283,0,0,0,1,0,0,0.11,0,0.16
ENSG00000006327,2480,1948,2864,1548,2224,2845,103.39,176.12,240.89
ENSG00000006377,0,0,0,0,0,0,0,0,0
ENSG00000006432,4,2,0,1,2,4,0.12,0.01,0.26
ENSG00000006451,971,786,1178,919,997,1299,21.37,29.44,33.9
ENSG00000006453,294.34,312,494.82,503.57,173.3,244.95,3.21,3.18,5.47
ENSG00000006459,163,129,139,132,240,287,2.58,2.39,1.25
ENSG00000006468,180,123,171,111,97,143,3.93,3.42,3.83
ENSG00000006530,273,204,378,187,350,459,8.5,8.74,11.95
ENSG00000006534,931,820,1598,1285,654,788,17.25,22.01,13.8
ENSG00000006555,0,0,0,0,0,0,0,0,0
ENSG00000006576,2382,1968,2964,1808,1507,2217,26.94,25.33,28.44
ENSG00000006606,0,1,2,1,1,7,0,1.64,0.25
ENSG00000006607,212.39,200.46,335.28,204.78,196.28,275.7,13.11,11.95,13.51
ENSG00000006611,0,0,0,0,0,0,0,0,0
ENSG00000006625,191.86,122,198,168,256,309,16.53,19.04,27.45
ENSG00000006634,77,103,127,71,94,151,5.71,9.52,11.51
ENSG00000006638,61,46,157,96,26,39,2.78,2.77,2.66
ENSG00000006652,532,496,617,554,504,651,17.14,16.98,23.36
ENSG00000006659,0,0,0,0,0,0,0,0,0
ENSG00000006695,184,155,172,151,171,233,4.27,4.81,7.8
ENSG00000006704,676,545,863,724,528,621,15.09,13.74,11.74
ENSG00000006712,609,565,879,580,848,1034,35.61,24.69,33.91
ENSG00000006715,823,726,883,574,985,1257,24.16,16.14,25.69
ENSG00000006740,26,24,25,19,26,34,0.81,1.22,0.96
ENSG00000006744,800,652,963,653,838,1133,18.13,18.12,33.72
ENSG00000006747,3,1,0,8,2,5,0,0,0.4
ENSG00000006756,326.54,213.6,339.49,180.47,259.62,379.29,5.57,5.02,4.66
ENSG00000006757,33,39,29,41,144,178,5.17,4.01,3.79
ENSG00000006788,14,10,14,4,14,44,0.05,0.03,0
ENSG00000006831,826,680,980,725,865,1090,17.28,11.85,14.42
ENSG00000006837,20,17,23.01,21,24.09,16.01,1.21,2.55,1.06
ENSG00000007001,0,0,0,0,0,0,0,0,0
ENSG00000007038,0,0,0,0,0,0,0.21,0.07,0
ENSG00000007047,1047,845,1212,1080,684,828,15.61,16.31,14.27
ENSG00000007062,24,3,4,6,5,15,0,0.11,0
ENSG00000007080,727,592,988,580,956,1033,48.05,76.98,103.43
ENSG00000007129,0,0,0,0,0,0,0,0,0
ENSG00000007168,2531,2048,2770,1940,2605,3495,52.1,48.03,63.24
ENSG00000007171,3,1,1,1,0,0,0,0.01,0
ENSG00000007174,0,0,0,0,0,0,0.21,0,0
ENSG00000007202,3537,2952,4344,3003,3174.47,4093.99,35.71,33.5,43.26
ENSG00000007216,0,0,0,0,0,0,0,0,0
ENSG00000007237,541,505,248,231,1026,1410,13.71,10.34,7.43
ENSG00000007255,89,83,135,99,49,46,14.13,15.87,6.44
ENSG00000007264,0,0,0,0,0,0,0,0,0
ENSG00000007306,0,0,0,0,0,0,0,0,0
ENSG00000007312,0,0,0,1,0,0,0,0,0
ENSG00000007314,0,0,1,0,0,0,0,0.01,0
ENSG00000007341,231,138.03,263,137,201.02,263.03,6.85,6.32,6.41
ENSG00000007350,0,0,0,0,0,1,0,0,0
ENSG00000007372,4,8,9,2,2,4,0.04,0.01,0.03
ENSG00000007376,312,205,292,253,287,355,15.66,16.24,15.5
ENSG00000007384,1867,1456,2431,1575,1441,1971,49.87,60.12,40.89
ENSG00000007392,453,429,561,351,702,975,25.42,23.11,29.2
ENSG00000007402,5,0,9,12,10,4,0.08,0.1,0.02
ENSG00000007516,11.01,20,46.02,16.01,21.06,13.03,0.77,0.6,0.38
ENSG00000007520,632.99,494,658.98,511.99,585.94,640.97,33.5,42.82,48.88
ENSG00000007541,555,486,662,532,419,551,15.05,15.67,18.24
ENSG00000007545,704.63,741.85,923.21,636,531.92,732,6.81,5.91,8.79
ENSG00000007866,1400,1039,1843,1099,1339,1941,34.23,44.5,38.83
ENSG00000007908,0,0,0,0,0,0,0,0,0
ENSG00000007923,701.46,576.8,710.99,450.04,999.62,1327.2,13.45,14.32,27.02
ENSG00000007933,163,76,178,79,40,50,5.36,7.26,0.09
ENSG00000007944,61,57,115,99,27,47,0.66,1.11,1.32
ENSG00000007952,0,0,1,0,1,1,0,0,0
ENSG00000007968,3,3,6,1,7,14,0.12,0.19,0.26
ENSG00000008018,1200,1037,1476,938,1713,2012,86.72,102.55,120.01
ENSG00000008056,69,64,92,96,24,29,1.18,0.96,0.93
ENSG00000008083,516,417,764,595,487,639,5.79,4.66,8.68
ENSG00000008086,118,79,89,64,77,132,2.33,2.58,2.06
ENSG00000008118,0,0,0,2,0,2,0.87,0.34,0.62
ENSG00000008128,112.83,153.07,193.11,130.07,218.3,278.9,7.59,7.67,9.25
ENSG00000008130,954,700,1007,675,802,949,20.47,19.61,26.05
ENSG00000008196,0,0,0,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0,0
ENSG00000008226,3,0,2.61,0,3.68,0,0,0,0.03
ENSG00000008256,1432,1213,2215,1479,1063,1733,16.97,22.68,31.06
ENSG00000008277,5,1,3,0,5,4,0.01,0,0
ENSG00000008282,1232,972,1462,1057,938,1453,43.79,34.36,37.37
ENSG00000008283,335,254,461,346,129,181,2.41,5.84,8.76
ENSG00000008294,1987,1601,2330,1720,1734,2331,23.07,20.2,23.46
ENSG00000008300,248,206,187,227,144,206,1.65,1.55,0.79
ENSG00000008311,368,248,508,284,277,468,7.26,6.49,4.47
ENSG00000008323,8,2,4,12,5,1,0,0.1,0.39
ENSG00000008324,114,92,154,84,98,129,12.53,12.48,13.76
ENSG00000008382,158,145,212,105,112,151,6.91,6.91,9.26
ENSG00000008394,2384,1928,2601,2015,2265,2931,305.68,233.78,188.98
ENSG00000008405,455,427,573,383,299,416,10.3,15.14,18.09
ENSG00000008438,0,0,0,0,0,0,0,0.14,0
ENSG00000008441,2574,2142,2933,2328,3056,3444,51.05,47.08,54.72
ENSG00000008513,3231,2193,3365,2224,3515,4770,76.42,60.76,35.5
ENSG00000008516,5.37,7.81,4.37,3.43,2.36,1.07,0.17,0.02,0.03
ENSG00000008517,1872,1177,2530,1169,266,317,127.16,186.1,98.26
ENSG00000008710,5953,5252,6823,5167,4132,6368,54.76,54.73,48.75
ENSG00000008735,14,4,12,14,7,14,0.34,0.09,0.17
ENSG00000008838,1079,955,1363,945,775,1070,30.96,33.83,36.95
ENSG00000008853,511.37,452.1,658.28,437.61,378.98,531.52,11.41,7.99,7.42
ENSG00000008869,455,379,567,422,479,640,3.24,3.3,5.03
ENSG00000008952,3163,2563,3767,3086,2898,3916,65.39,67.41,49.3
ENSG00000008988,8156,6489,9548,7132,6744,7589,1325.59,1344.42,1099.25
ENSG00000009307,14219,11907,17966,14621,10558,13433,278.06,242.45,272.54
ENSG00000009335,2518,1918,2600,1675,2234,2835,35.42,37.57,48.88
ENSG00000009413,1257.99,1033.97,1684.98,1691,869.93,1207.94,11.78,6.08,5.02
ENSG00000009694,974,780,1512,745,9,77,0.02,0.05,0.09
ENSG00000009709,0,0,0,0,0,0,0,0,0
ENSG00000009724,1,9,5,3,8,9,0.14,0.11,0.22
ENSG00000009765,0,0,0,0,0,0,0,0,0
ENSG00000009780,76,64,86,73,81,98,3.09,1.77,2.68
ENSG00000009790,5,6,5,2,2,7,0.03,0.25,0.23
ENSG00000009830,394,332,413,280,289,438,5.91,5.78,7.59
ENSG00000009844,892,698,915,628,921,1161,33.29,27.79,30.7
ENSG00000009950,0,0,0,0,0,0,0,0,0
ENSG00000009954,2069,1616,2529,1712,2112,2743,26.48,20.51,25.46
ENSG00000010017,873,701,1012,837.13,887.16,1061.74,31.85,22.95,25.94
ENSG00000010030,5,5,18,10,3,3,0.27,0.2,0.08
ENSG00000010072,149.13,114.29,168.52,96.14,122.52,196.26,2.74,2.88,5.49
ENSG00000010165,416,363,498,350,458,530,10.85,10.58,11.84
ENSG00000010219,244,177,287,236,200,273,25.2,29.71,29.05
ENSG00000010244,2469,1755,2770,1788,2401,3410,92.56,78.27,91.12
ENSG00000010256,3330,2773,4220,2977,2847,3531,276.53,259.18,305.09
ENSG00000010270,872,688,1151,717,606,750,39.78,37.77,33.23
ENSG00000010278,1572,1458,2098,1827,885,1496,93.13,102.52,124.74
ENSG00000010282,0,0,0,0,1,2,0,0,0
ENSG00000010292,1042.38,963.25,1511.86,1107.92,1242.05,1867.2,26.52,19.24,46.12
ENSG00000010295,728,487,804,624,510,612,14.84,16.8,16.37
ENSG00000010310,25,30,31,16,26,48,1.36,0.99,0.31
ENSG00000010318,31,20,31,44,31,40,1.31,2.42,2.91
ENSG00000010319,1,1,1,2,1,2,0.11,0,0.01
ENSG00000010322,2579,2283,3215,2482,2066,2566,42.7,36.19,39.8
ENSG00000010327,3,0,0,0,2.01,1,0,0.01,0
ENSG00000010361,183.17,122.07,226.08,156.05,135.42,170.08,8.34,12.62,8.63
ENSG00000010379,0,0,0,0,0,0,0,0,0
ENSG00000010404,2337.11,2106.12,2690.48,2049.59,1680.59,1880.35,43.06,43.7,36.69
ENSG00000010438,45,28,30,27,50,50,5.28,2.68,3.26
ENSG00000010539,86,96,135,76,72,121,3.99,2.15,3.59
ENSG00000010610,243,182,158,67,367,428,15.73,9.74,13.34
ENSG00000010626,150.44,115.9,208.44,196.16,93.25,126.17,11.78,9.63,5.91
ENSG00000010671,0,0,0,0,2,0,0,0,0
ENSG00000010704,320,320,427,381,374,550,9.25,7.83,8.94
ENSG00000010803,813,624,907,616,552,652,21.29,22.08,13.43
ENSG00000010810,741,687,867,758,941,1085,42.58,27.07,32.21
ENSG00000010818,1029,923,1352,953,574,875,5.83,5.9,6.65
ENSG00000010932,1,0,0,0,0,0,0.03,0,0
ENSG00000011007,459.1,422.03,475.76,355.95,593.34,855.95,4.72,4.67,5.69
ENSG00000011009,597,454,604,408,425,568,26.5,28.75,36.65
ENSG00000011021,448,434,663,653,405,680,4.95,4.69,5.08
ENSG00000011028,19762,16939,21094,15685,13634,16528,360.96,385.98,323.55
ENSG00000011052,1685.35,1377.39,1937.58,1395.09,2407.12,2400.05,171.65,223.81,275.61
ENSG00000011083,0,0,1,0,0,1,0,0,0
ENSG00000011105,2336,1884,2761,1879,1250,1863,28.47,25.01,18.75
ENSG00000011114,1112,868,1291,725,779,960,12.25,10.6,14.41
ENSG00000011132,293,224,378,228,183,247,21.99,24.22,17.14
ENSG00000011143,67,83,132,112,126,156,3.42,3.84,6.32
ENSG00000011198,282,242,220,207,403,405,34.02,23.14,10.68
ENSG00000011201,0,0,0,0,9,7,0,0.01,0.02
ENSG00000011243,820.32,704.82,1146.6,821.35,704.3,940.03,26.35,32.59,34.13
ENSG00000011258,235,217,285,180,206,279,4.32,2.73,3.11
ENSG00000011260,293,300,350,311,328,470,13.69,13.5,18.06
ENSG00000011275,1271,1070,1522,1004,1236,1538,17.38,17.82,15.85
ENSG00000011295,380,277.36,410.78,312,480.83,625.5,8.1,12.57,11.95
ENSG00000011304,4689,3717,5815,4062,4741,6606,151.82,147.38,215.35
ENSG00000011332,20,16,17,10,28,35,0.81,0.86,3.8
ENSG00000011347,0,2,2,0,0,3,0,0,0
ENSG00000011376,420,375,584,322,602,752,5.84,5.38,10.96
ENSG00000011405,1077,834,1215,855,912,1348,15,9.67,9.03
ENSG00000011422,1226,1131,1190,1084,1168,1665,71.38,67.82,119.24
ENSG00000011426,1670,1501,2549,1699,1513,3077,48.69,40.77,81.53
ENSG00000011451,1022,910,1301,895,1202,1362,15.43,16.56,24.85
ENSG00000011454,1363,909,1535,1094,1621,1997,33.92,28.44,24.72
ENSG00000011465,45626,33846,46821,33427,43432,65984,5475.86,3533.24,1391.48
ENSG00000011478,268,211,339,309,190,257,4.98,5.79,7.21
ENSG00000011485,540,469,680.95,427,858,1193,23.09,27.7,41.44
ENSG00000011523,332,246,406,291,247,324,6.29,6.18,5.12
ENSG00000011566,1584,1244,2020,1720,1147,1749,26.73,24.38,14.55
ENSG00000011590,0,1,0,0,0,0,0,0,0
ENSG00000011600,0,0,0,0,0,0,0,0,0
ENSG00000011638,830,666,1193,890,753,854,34.42,48.98,28.96
ENSG00000011677,0,0,0,0,0,0,0,0,0
ENSG00000012048,95,99,105,74,95,231,2.86,2.52,3.76
ENSG00000012061,928.04,705.36,1112.56,666.04,725.06,1052.35,43.03,62.42,65.82
ENSG00000012124,0,1,0,1,0,0,0,0,0
ENSG00000012171,1863,1622,2502,1913,1067,1445,48.26,46.94,24.7
ENSG00000012174,690.89,607.5,790.93,574.28,775.83,1063.25,7.57,6.82,6.83
ENSG00000012211,259.83,191.95,348.92,232.43,136.02,181.53,8.84,7.9,9.03
ENSG00000012223,48,37,58,92,0,7,1.04,0.53,0
ENSG00000012232,2456,2043,3254,2197,1333,1760,23.81,25.69,27.32
ENSG00000012504,0,0,0,0,0,0,0,0,0
ENSG00000012660,1477,1189,1652,1120,1636,2177,30.42,32.21,37.9
ENSG00000012779,0,0,1,0,0,2,0,0,0
ENSG00000012817,0,0,0,0,0,1,0,0,0
ENSG00000012822,2213,1998,2895,2168,2352,2908,63.84,66.45,61.4
ENSG00000012963,329.56,320.76,443.57,305.43,407,579,14.08,8.98,15.48
ENSG00000012983,1635,1238,1660,1173,1453,1866,54.66,41.95,55.91
ENSG00000013016,905,695,1155,716,827,962,16.3,15.6,12.22
ENSG00000013275,1055,802,1099,742,1241,1566,54.78,58.57,78.84
ENSG00000013288,3854,3467,4600,3483,2509,3290,37.62,35.59,38.98
ENSG00000013293,8,14,10,6,31,32,0.1,0.17,0.17
ENSG00000013297,5374,3814,9089,4698,7833,12088,184.7,204.99,421.46
ENSG00000013306,859,756,1022,813,747,764,30.99,39.32,53.46
ENSG00000013364,6511,5073,9472,6233,6286,8433,119.38,145.41,167.56
ENSG00000013374,1020,767.99,1256,948,912.99,1210.98,22.6,24.9,28.25
ENSG00000013375,3060.23,2492.03,3504.68,2827.04,2117.21,2958.61,51.35,51.47,52.04
ENSG00000013392,227,194,227,196,228,239,4.74,4.76,3.2
ENSG00000013441,791,564,881,911,716,1084,41.94,19.21,19.93
ENSG00000013503,227,176,224,161,311,434,3.92,4.09,6.07
ENSG00000013523,251,208,293,185,252,290,4,4.15,4.37
ENSG00000013561,733,607,851,676,777,1022,20.72,21.63,25.34
ENSG00000013563,1715.46,1604.83,2483.03,2099.78,708.9,865.65,26.69,32.3,29.98
ENSG00000013573,105,71,85,59,109,240,4.4,2.9,8.13
ENSG00000013583,1204,943,1295,1083,808,1029,51.09,61.64,43.48
ENSG00000013588,3723,2937,3832,2725,6085,6571,50.26,45.49,64.28
ENSG00000013619,443,321,396,242,362,499,9.74,9.02,8.27
ENSG00000013725,0,0,0,0,0,0,0,0,0
ENSG00000013810,267.61,273,327.86,250,394.77,650.35,15.04,13.94,31.82
ENSG00000014123,667,544,770,658,704,881,7.77,6.46,5.93
ENSG00000014138,192,203,251,147,184,305,7.64,6.93,15.49
ENSG00000014164,299,240,324,283,267,342,4.11,4.7,5
ENSG00000014216,3716,2938,4617,3104,3862,4585,107,98.83,152.52
ENSG00000014257,168,126,149,98,56,75,0.74,0.81,0.16
ENSG00000014641,1540,1225,1865,1270,1330,1743,86.94,84.73,112.7
ENSG00000014824,1391,1111,1566,1226,1176,1503,32.92,32.87,31.12
ENSG00000014914,366,297,574,479,204,246,13.82,9.57,8.69
ENSG00000014919,308,318,424,353,382,469,8.21,8.48,8.77
ENSG00000015133,1,0,0,0,1,0,0,0.02,0.03
ENSG00000015153,253,260,269,231,186,259,10.58,9.22,8.7
ENSG00000015171,1851,1396,2156,1447,1608,2048,30.98,30.3,34.17
ENSG00000015285,0,1,1,0,0,6,0.29,0.08,0
ENSG00000015413,2,4,4,9,0,1,1.34,1.02,0
ENSG00000015475,1208,903,1394,867,791,965,50.99,60.3,52.71
ENSG00000015479,3900,2836,4508,3078,4799,6408,129.95,94.87,128.09
ENSG00000015520,2,7,3,3,10,14,0.2,0.08,0
ENSG00000015532,1542,1323,1922,1403,1257,1512,20.05,27.12,25.83
ENSG00000015568,0,1,0,0,0,0,0,0,0
ENSG00000015592,0,0,0,0,1,3,0,0,0.05
ENSG00000015676,1240,1044,1466,1129,1104,1426,29.15,22.37,36.45
ENSG00000016082,0,0,0,0,0,0,0,0,0
ENSG00000016391,0,0,0,0,0,0,0.02,0.02,0.03
ENSG00000016402,0,0,0,0,0,2,0,0,0
ENSG00000016490,0,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0,0,0,0
ENSG00000016864,1761.29,1334.53,2078.13,1713.94,1374.75,1903.21,89.28,85.25,62.87
ENSG00000017260,3494,2781,4126.83,2939.88,2524.97,3643,57.68,56.52,43.58
ENSG00000017373,0,1,0,4,0,3,0.01,0.03,0
ENSG00000017427,0,0,0,0,2,3,0.05,0,0.06
ENSG00000017483,403,346,469,285,174,444,49.72,42.51,27.42
ENSG00000017621,17,7,8,18,3,8,0.63,0.32,0.6
ENSG00000017797,2754,2173,3615,2900,2072,2806,38.97,35.06,36.62
ENSG00000018189,409,346,490,401,529,643,11.17,9.35,9.58
ENSG00000018236,8,11,7,9,11,18,1.05,0.67,0.47
ENSG00000018280,3,6,3,2,2,5,0.17,0.02,0.01
ENSG00000018408,1269.66,1148.03,1271.7,883.86,1108.55,1394.37,44.19,32.83,29.41
ENSG00000018510,533,489,576,422,669,935,6.46,4.32,11.27
ENSG00000018607,0,0,0,0,0,0,0,0,0
ENSG00000018610,242,185,314,228,271,358,8.02,7.91,7.71
ENSG00000018625,32,36,47,68,12,31,0.22,0.24,0.3
ENSG00000018699,211,194,287,163,305,395,10.25,6.54,10.47
ENSG00000018869,24,15,20,18,21,19,0.59,1.13,0.56
ENSG00000019102,0,0,0,0,0,0,0,0,0
ENSG00000019144,2797,2196,2955.11,1752,3564.78,4695.41,46.22,48.45,59.72
ENSG00000019169,0,0,0,0,0,0,0,0,0
