"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",67,82,3.32422046869835e-14,-0.287576590096585,0.160060606123027,0.00160060606123027,0.0769,0.640833333333333
"5 prime UTR variant",13,15,3.7e-24,-0.192645077942396,0.36784322643994,0.0036784322643994,0.5217,1
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",2,1,3.7e-24,0.584962500721156,0.743965996770445,0.00743965996770444,0.6671,1
"downstream gene variant",702,720,0.00291058618307493,-0.0364745701682872,0.0515910574634901,0.000515910574634901,0.4793,1
"frameshift variant",0,0,3.7e-24,0,0.601854715766678,0.00601854715766678,1,1
"inframe deletion",0,0,3.7e-24,0,0.224238204800658,0.00224238204800658,1,1
"inframe insertion",0,0,NA,0,0,0,1,1
"intergenic variant",3476,3200,0.189953377688238,0.119320390182047,0.0215109235282067,0.000215109235282067,0,0
"intron",4986,5264,0.49494709656732,-0.078261328247965,0.0142311319100142,0.000142311319100142,0,0
"missense variant",84,89,2.68416654611981e-17,-0.082462160191973,0.150371273539449,0.00150371273539449,0.5519,1
"non coding transcript exon variant",61,54,7.11618772677605e-23,0.172836596862216,0.193842628086303,0.00193842628086303,0.3732,1
"regulatory region",551,550,0.0116009039154006,0.00261594820701129,0.0600026167958247,0.000600026167958247,0.9825,1
"splice",21,20,3.7e-24,0.067114195858537,0.318119826522588,0.00318119826522588,0.8262,1
"start lost",0,0,3.7e-24,0,0.503794142269068,0.00503794142269068,1,1
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",8,5,3.7e-24,0.584962500721156,0.578391162456098,0.00578391162456098,0.3966,1
"stop lost",0,0,3.7e-24,0,0.404878956930202,0.00404878956930202,1,1
"stop retained variant",0,0,3.7e-24,0,0.197302427150932,0.00197302427150932,1,1
"synonymous variant",23,29,3.7e-24,-0.321928094887362,0.269561350830322,0.00269561350830322,0.2467,1
"upstream gene variant",699,663,0.0195169823168477,0.0761716804854041,0.0544557951787763,0.000544557951787763,0.1596,0.9975
"mature miRNA variant",0,0,3.7e-24,0,0.279860535166726,0.00279860535166726,1,1
"non coding transcript variant",0,0,3.7e-24,0,0.0518939235164368,0.000518939235164368,1,1
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,0.0509264111236497,0.000509264111236497,1,1
"coding sequence variant",0,0,3.7e-24,0,0.038702710369934,0.00038702710369934,1,1
