"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","log2fc.sd","log2fc.se","pvalue","pvalue.adj"
"3 prime UTR variant",67,81.7525,3.32422046869835e-14,-0.27446827077362,0.160060606123027,0.00160060606123027,0.0701,0.3505
"5 prime UTR variant",13,14.8504,3.7e-24,-0.134291686609688,0.36784322643994,0.0036784322643994,0.7052,1
"NMD transcript variant",0,0,NA,0,0,0,1,1
"TF binding site variant",2,1.5335,3.7e-24,0.426005528578986,0.743965996770445,0.00743965996770444,0.7477,1
"downstream gene variant",702,719.879,0.00291058618307493,-0.0353108348381651,0.0515910574634901,0.000515910574634901,0.4793,1
"frameshift variant",0,0.5327,3.7e-24,-0.479918975605121,0.601854715766678,0.00601854715766678,0.6838,1
"inframe deletion",0,0.0526,3.7e-24,-0.0522679700005769,0.224238204800658,0.00224238204800658,0.0518,0.32375
"inframe insertion",0,0,NA,0,0,0,1,1
"intergenic variant",3476,3199.4035,0.189953377688238,0.119749575902649,0.0215109235282067,0.000215109235282067,0,0
"intron",4986,5264.0305,0.49494709656732,-0.0781995048760247,0.0142311319100142,0.000142311319100142,0,0
"missense variant",84,88.8572,2.68416654611981e-17,-0.0723954635790947,0.150371273539449,0.00150371273539449,0.6265,1
"non coding transcript exon variant",61,53.8802,7.11618772677605e-23,0.188848679457719,0.193842628086303,0.00193842628086303,0.3732,1
"regulatory region",551,550.045,0.0116009039154006,0.00374382013799207,0.0600026167958247,0.000600026167958247,0.9825,1
"splice",21,20.3413,3.7e-24,0.0776745338596876,0.318119826522588,0.00318119826522588,0.8262,1
"start lost",0,0.3239,3.7e-24,-0.304646080324054,0.503794142269068,0.00503794142269068,1,1
"start retained variant",0,0,NA,0,0,0,1,1
"stop gained",8,5.5856,3.7e-24,0.55539557065391,0.578391162456098,0.00578391162456098,0.3966,1
"stop lost",0,0.1885,3.7e-24,-0.181464963760313,0.404878956930202,0.00404878956930202,1,1
"stop retained variant",0,0.0398,3.7e-24,-0.0392604512509375,0.197302427150932,0.00197302427150932,1,1
"synonymous variant",23,28.8734,3.7e-24,-0.291193036839665,0.269561350830322,0.00269561350830322,0.2467,0.881071428571429
"upstream gene variant",699,662.7271,0.0195169823168477,0.0777910432938248,0.0544557951787763,0.000544557951787763,0.1596,0.665
"mature miRNA variant",0,0.0839,3.7e-24,-0.0828624062518029,0.279860535166726,0.00279860535166726,1,1
"non coding transcript variant",0,0.0027,3.7e-24,-0.0027,0.0518939235164368,0.000518939235164368,1,1
"incomplete terminal codon variant / coding sequence variant",0,0.0026,3.7e-24,-0.0026,0.0509264111236497,0.000509264111236497,1,1
"coding sequence variant",0,0.0015,3.7e-24,-0.0015,0.038702710369934,0.00038702710369934,0.0015,0.0125
