"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","MMEA9_C3",2,5,3.7e-24,-1,0.1254
"ribosome biogenesis","MMEA9_C3",1,4,3.7e-24,-1.32192809488736,0.086
"rRNA metabolic process","MMEA9_C3",2,3,3.7e-24,-0.415037499278844,0.5976
"proteasome-mediated ubiquitin-dependent protein catabolic process","MMEA9_C3",4,5,3.7e-24,-0.263034405833794,0.679
"regulation of response to DNA damage stimulus","MMEA9_C3",2,4,3.7e-24,-0.736965594166206,0.3243
"establishment of protein localization to organelle","MMEA9_C3",5,6,3.7e-24,-0.222392421336448,0.7026
"macroautophagy","MMEA9_C3",0,4,3.7e-24,-2.32192809488736,0.0126
"regulation of chromosome organization","MMEA9_C3",2,3,3.7e-24,-0.415037499278844,0.609
"Golgi vesicle transport","MMEA9_C3",3,3,3.7e-24,0,1
"double-strand break repair","MMEA9_C3",1,3,3.7e-24,-1,0.1976
"histone modification","MMEA9_C3",2,5,3.7e-24,-1,0.1232
"sister chromatid segregation","MMEA9_C3",2,4,3.7e-24,-0.736965594166206,0.3066
"DNA replication","MMEA9_C3",3,3,3.7e-24,0,1
"chromosome segregation","MMEA9_C3",1,6,3.7e-24,-1.8073549220576,0.0236
"mitochondrial gene expression","MMEA9_C3",0,2,3.7e-24,-1.58496250072116,0.1264
"nucleocytoplasmic transport","MMEA9_C3",3,3,3.7e-24,0,1
"nuclear transport","MMEA9_C3",0,3,3.7e-24,-2,0.0289
"regulation of DNA repair","MMEA9_C3",0,3,3.7e-24,-2,0.0355
"peptidyl-lysine modification","MMEA9_C3",0,4,3.7e-24,-2.32192809488736,0.0151
"protein targeting","MMEA9_C3",1,4,3.7e-24,-1.32192809488736,0.0975
"cytoplasmic translation","MMEA9_C3",2,2,3.7e-24,0,1
"regulation of autophagy","MMEA9_C3",1,3,3.7e-24,-1,0.2063
"signal transduction in response to DNA damage","MMEA9_C3",0,3,3.7e-24,-2,0.0675
"regulation of intracellular transport","MMEA9_C3",2,3,3.7e-24,-0.415037499278844,0.5825
"protein localization to nucleus","MMEA9_C3",3,4,3.7e-24,-0.321928094887362,0.6525
"microtubule cytoskeleton organization involved in mitosis","MMEA9_C3",0,2,3.7e-24,-1.58496250072116,0.0999
"telomere maintenance","MMEA9_C3",0,2,3.7e-24,-1.58496250072116,0.1016
"cell cycle checkpoint signaling","MMEA9_C3",1,2,3.7e-24,-0.584962500721156,0.5428
"regulation of protein modification by small protein conjugation or removal","MMEA9_C3",1,3,3.7e-24,-1,0.229
"cellular respiration","MMEA9_C3",1,3,3.7e-24,-1,0.2123
"cellular component disassembly","MMEA9_C3",3,5,3.7e-24,-0.584962500721156,0.3087
"nuclear chromosome segregation","MMEA9_C3",2,3,3.7e-24,-0.415037499278844,0.5938
