"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue"
"ncRNA processing","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6341
"ribosome biogenesis","C1_05_24",3,3,3.7e-24,0,1
"rRNA metabolic process","C1_05_24",4,2,3.7e-24,0.736965594166206,0.3058
"proteasome-mediated ubiquitin-dependent protein catabolic process","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6434
"regulation of response to DNA damage stimulus","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6455
"establishment of protein localization to organelle","C1_05_24",2,5,3.7e-24,-1,0.1057
"macroautophagy","C1_05_24",6,4,3.7e-24,0.485426827170242,0.4506
"regulation of chromosome organization","C1_05_24",0,3,3.7e-24,-2,0.0571
"Golgi vesicle transport","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6485
"double-strand break repair","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6108
"histone modification","C1_05_24",7,4,3.7e-24,0.678071905112638,0.3413
"sister chromatid segregation","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5972
"DNA replication","C1_05_24",1,3,3.7e-24,-1,0.1961
"chromosome segregation","C1_05_24",5,4,3.7e-24,0.263034405833794,0.8139
"mitochondrial gene expression","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5233
"nucleocytoplasmic transport","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6461
"nuclear transport","C1_05_24",5,3,3.7e-24,0.584962500721156,0.3732
"regulation of DNA repair","C1_05_24",1,3,3.7e-24,-1,0.2181
"peptidyl-lysine modification","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6461
"protein targeting","C1_05_24",0,4,3.7e-24,-2.32192809488736,0.0165
"cytoplasmic translation","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.533
"regulation of autophagy","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6539
"signal transduction in response to DNA damage","C1_05_24",4,2,3.7e-24,0.736965594166206,0.307
"regulation of intracellular transport","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2748
"protein localization to nucleus","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.5917
"microtubule cytoskeleton organization involved in mitosis","C1_05_24",3,1,3.7e-24,1,0.4143
"telomere maintenance","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5722
"cell cycle checkpoint signaling","C1_05_24",4,2,3.7e-24,0.736965594166206,0.3357
"regulation of protein modification by small protein conjugation or removal","C1_05_24",2,3,3.7e-24,-0.415037499278844,0.6282
"cellular respiration","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5375
"cellular component disassembly","C1_05_24",4,6,3.7e-24,-0.485426827170242,0.4328
"nuclear chromosome segregation","C1_05_24",1,3,3.7e-24,-1,0.1973
"regulation of protein stability","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7728
"regulation of cell cycle phase transition","C1_05_24",3,4,3.7e-24,-0.321928094887362,0.6542
"regulation of protein catabolic process","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.3148
"response to endoplasmic reticulum stress","C1_05_24",5,3,3.7e-24,0.584962500721156,0.3782
"vesicle organization","C1_05_24",4,3,3.7e-24,0.321928094887362,0.7853
"mitochondrial respiratory chain complex assembly","C1_05_24",0,1,3.7e-24,-1,0.4214
"DNA-templated transcription elongation","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5705
"mitochondrial transport","C1_05_24",1,2,3.7e-24,-0.584962500721156,0.5263
"establishment of organelle localization","C1_05_24",2,4,3.7e-24,-0.736965594166206,0.2555
"regulation of intracellular protein transport","C1_05_24",4,2,3.7e-24,0.736965594166206,0.2961
"response to UV","C1_05_24",1,1,3.7e-24,0,1
"RNA localization","C1_05_24",3,2,3.7e-24,0.415037499278844,0.7418
