"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj",sample
"snv coding nonsynonymous",5,5.9595,3.7e-24,-0.121438080755139,0.5274,0.5274,C1_05_24
"snv coding synonymous",1,2.3658,3.7e-24,-0.586418931515163,0.4037,0.482766666666667,C1_05_24
"snv noncoding 3prime UTR",3,4.6942,3.7e-24,-0.395212521617111,0.4075,0.482766666666667,C1_05_24
"snv noncoding downstream gene",36,42.1561,3.7e-24,-0.20624796911352,0.2649,0.463575,C1_05_24
"snv noncoding intergenic",72,167.5581,7.67770249427519e-10,-1.20424414055765,0,0,C1_05_24
"snv noncoding intron",201,226.9877,2.26556922051502e-08,-0.172670258828868,0.0188,0.0877333333333333,C1_05_24
"snv noncoding nmd",4,6.8731,3.7e-24,-0.569084867904682,0.1321,0.36988,C1_05_24
"snv noncoding regulatory",42,33.7615,3.7e-24,0.325657734792216,0.1881,0.4156,C1_05_24
"snv noncoding splice",2,1.2102,3.7e-24,0.617023522506283,0.4138,0.482766666666667,C1_05_24
"snv noncoding transcript exon",7,3.31,3.7e-24,1.03608543244767,0.2078,0.4156,C1_05_24
"snv noncoding transcript intron",63,57.5764,4.83587534866268e-21,0.138889117698064,0.4857,0.523061538461538,C1_05_24
"snv noncoding upstream gene",50,39.9091,3.7e-24,0.334612722072309,0.1254,0.36988,C1_05_24
"snv noncoding 5prime UTR",0,1.2086,3.7e-24,-0.964498563929056,0.3342,0.482766666666667,C1_05_24
"undefined",0,0.0059,3.7e-24,-0.0059,0.0059,0.0413,C1_05_24
"snv coding nonsynonymous",2,4.3197,3.7e-24,-0.704342569675998,0.2229,0.73668,C2_05_24
"snv coding synonymous",1,1.615,3.7e-24,-0.206375435934985,0.7436,0.904723076923077,C2_05_24
"snv noncoding 3prime UTR",3,3.4746,3.7e-24,-0.0216071743275127,0.8068,0.904723076923077,C2_05_24
"snv noncoding 5prime UTR",3,0.8638,3.7e-24,1.26774090371122,0.0122,0.0854,C2_05_24
"snv noncoding downstream gene",28,31.8609,3.7e-24,-0.159718643093492,0.4032,0.8064,C2_05_24
"snv noncoding intergenic",63,143.3395,5.45888636835929e-12,-1.16985434451817,0,0,C2_05_24
"snv noncoding intron",183,180.5634,3.67304193628248e-10,0.0216900962704673,0.8139,0.904723076923077,C2_05_24
"snv noncoding nmd",4,5.4843,3.7e-24,-0.270542309207137,0.548,0.852444444444445,C2_05_24
"snv noncoding regulatory",28,26.7431,3.7e-24,0.0885054909878821,0.8401,0.904723076923077,C2_05_24
"snv noncoding splice",2,0.8543,3.7e-24,0.859017473684603,0.4771,0.834925,C2_05_24
"snv noncoding transcript exon",1,2.5822,3.7e-24,-0.679365233989637,0.318,0.742,C2_05_24
"snv noncoding transcript intron",40,47.2404,3.7e-24,-0.22118745829912,0.2631,0.73668,C2_05_24
"snv noncoding upstream gene",20,30.0381,3.7e-24,-0.541755818488389,0.0371,0.173133333333333,C2_05_24
"undefined",0,0.0061,3.7e-24,-0.0061,1,1,C2_05_24
"snv coding nonsynonymous",5,5.056,3.7e-24,0.0966986961757495,1,1,C3_05_24
"snv coding synonymous",1,1.9515,3.7e-24,-0.389966142041178,0.2722,0.586075,C3_05_24
"snv noncoding 3prime UTR",2,4.3715,3.7e-24,-0.717696177886129,0.1005,0.35175,C3_05_24
"snv noncoding downstream gene",27,36.7796,3.7e-24,-0.414678964496532,0.0664,0.347666666666667,C3_05_24
"snv noncoding intergenic",67,145.9232,4.7355757581615e-10,-1.10791740049492,0,0,C3_05_24
"snv noncoding intron",186,204.9063,2.31273104104767e-09,-0.136839554234406,0.0745,0.347666666666667,C3_05_24
"snv noncoding nmd",6,5.926,3.7e-24,0.111201347305507,0.8388,0.9786,C3_05_24
"snv noncoding regulatory",24,28.4198,3.7e-24,-0.212092544185861,0.3349,0.586075,C3_05_24
"snv noncoding splice",1,1.0535,3.7e-24,0.136963315935127,0.6305,0.8827,C3_05_24
"snv noncoding transcript exon",1,2.7392,3.7e-24,-0.745851762478731,0.2876,0.586075,C3_05_24
"snv noncoding transcript intron",57,49.8132,3.7e-24,0.203733104946083,0.3344,0.586075,C3_05_24
"snv noncoding upstream gene",32,33.9856,3.7e-24,-0.0651267763983914,0.7311,0.930490909090909,C3_05_24
"snv noncoding 5prime UTR",0,0.9404,3.7e-24,-0.784046589986034,0.4657,0.724422222222222,C3_05_24
"undefined",0,0.0047,3.7e-24,-0.0047,1,1,C3_05_24
"snv coding nonsynonymous",15,27.7048,3.7e-24,-0.818745993435357,0.0068,0.0476,E1_06_14
"snv coding synonymous",6,8.6172,3.7e-24,-0.385101616881167,0.3436,0.437309090909091,E1_06_14
"snv noncoding 3prime UTR",27,23.102,3.7e-24,0.246333843794876,0.4143,0.48335,E1_06_14
"snv noncoding 5prime UTR",1,4.2816,3.7e-24,-1.27578411566471,0.0133,0.0620666666666667,E1_06_14
"snv noncoding downstream gene",186,201.6533,5.33921878822048e-07,-0.1126707507345,0.2462,0.34468,E1_06_14
"snv noncoding intergenic",316,866.158,0.0190057784975119,-1.45122396333874,0,0,E1_06_14
"snv noncoding intron",1091,1146.0399,0.0155913105913927,-0.0705601883100912,0.0336,0.09408,E1_06_14
"snv noncoding nmd",28,35.496,3.7e-24,-0.312367043630903,0.1472,0.289275,E1_06_14
"snv noncoding regulatory",150,153.9264,1.06680385201577e-08,-0.0326025612733942,0.7408,0.797784615384615,E1_06_14
"snv noncoding splice",2,5.5213,3.7e-24,-1.01620304830497,0.0879,0.2051,E1_06_14
"snv noncoding transcript exon",14,15.0329,3.7e-24,-0.0514583544294831,0.8021,0.8021,E1_06_14
"snv noncoding transcript intron",312,292.2055,5.7396676898588e-05,0.0964455124633386,0.2392,0.34468,E1_06_14
"snv noncoding upstream gene",207,187.1336,1.77966248483291e-08,0.148448034231587,0.1653,0.289275,E1_06_14
"undefined",0,0.0279,3.7e-24,-0.0278169925001442,0.0277,0.09408,E1_06_14
"snv coding nonsynonymous",40,33.3506,3.7e-24,0.275402378326711,0.2923,0.6153,E1_08_16
"snv coding synonymous",7,10.5665,3.7e-24,-0.469896468697671,0.2432,0.6153,E1_08_16
"snv noncoding 3prime UTR",16,27.0398,3.7e-24,-0.696234307538261,0.0172,0.0802666666666667,E1_08_16
"snv noncoding 5prime UTR",8,5.0701,3.7e-24,0.680987932051761,0.3299,0.6153,E1_08_16
"snv noncoding downstream gene",245,256.5172,2.74229184734478e-05,-0.0634428679837267,0.429,0.6153,E1_08_16
"snv noncoding intergenic",468,1253.8161,0.0448959699395449,-1.41942337980002,0,0,E1_08_16
"snv noncoding intron",1405,1491.7822,0.0155290524504085,-0.0861046508593971,0.0038,0.0266,E1_08_16
"snv noncoding nmd",40,47.1328,8.49143642303268e-24,-0.216775744680263,0.2402,0.6153,E1_08_16
"snv noncoding regulatory",217,207.8133,7.14720340416648e-06,0.0653784965230381,0.5461,0.695036363636364,E1_08_16
"snv noncoding splice",9,6.5872,3.7e-24,0.489314920084581,0.4301,0.6153,E1_08_16
"snv noncoding transcript exon",24,20.5704,3.7e-24,0.245496762543188,0.4395,0.6153,E1_08_16
"snv noncoding transcript intron",415,412.1346,0.000628920523894043,0.0115408754015892,0.8748,1,E1_08_16
"snv noncoding upstream gene",236,235.3667,5.96697883693681e-05,0.00667734798462482,0.9464,1,E1_08_16
"undefined",0,0.0313,3.7e-24,-0.0312169925001442,1,1,E1_08_16
"snv coding nonsynonymous",37,33.8357,3.7e-24,0.145485195524797,0.6034,0.767666666666667,E2_06_14
